Type,Detail,URL
News,"Trump announces 30% tariffs against EU, Mexico to begin August 1",https://www.thehindu.com/news/international/trump-announces-30-tariffs-against-eu-mexico-to-begin-august-1/article69804702.ece
News,"Audi runs over 5 people sleeping on footpath in Delhi's Vasant Vihar, driver held",https://www.thehindu.com/news/cities/Delhi/audi-runs-over-5-people-sleeping-on-footpath-in-delhis-vasant-vihar-driver-held/article69806541.ece
News,"Leaders of J&K regional parties ‘detained, locked in homes’ in Srinagar on anniversary of civilians killed in 1931",https://www.thehindu.com/news/national/jammu-and-kashmir/leaders-of-jk-regional-parties-detained-locked-in-homes-in-srinagar-on-anniversary-of-civilians-killed-in-1931/article69806625.ece
News,TVK chief Vijay leads protest in Chennai against custodial deaths in Tamil Nadu,https://www.thehindu.com/news/national/tamil-nadu/vijay-leads-tamilaga-vettri-kazhagam-tvk-protest-at-chennai-against-custodial-deaths-in-tamil-nadu/article69806777.ece
News,Air India Ahmedabad plane crash: U.S. Golden Chassis helped AAIB download raw data from black box,https://www.thehindu.com/news/national/air-india-ahmedabad-plane-crash-us-golden-chassis-helped-aaib-download-raw-data-from-black-box/article69806546.ece
News,"Murdered tennis player Radhika Yadav had no academy, trained aspirants by booking courts: Police",https://www.thehindu.com/news/national/haryana/slain-tennis-player-radhika-yadav-had-no-academy-trained-aspirants-by-booking-different-tennis-courts-police/article69803572.ece
News,Student of IIM Calcutta arrested for allegedly raping a woman on campus,https://www.thehindu.com/news/national/west-bengal/iim-calcutta-student-rape-case/article69803536.ece
News,"Bihar SIR: People from Nepal, Bangladesh, Myanmar found during drive; will not be included in final voter list, says Election Commission",https://www.thehindu.com/news/national/bihar/bihar-sir-people-from-nepal-bangladesh-myanmar-found-during-drive-will-not-be-included-in-final-voter-list-election-commission/article69806751.ece
News,"Morning Digest: ECI says 80% of electors in Bihar have submitted voter enumeration forms, Swiatek defeats Anisimova in Wimbledon final; and more",https://www.thehindu.com/news/the-hindu-morning-digest-july-13-2025/article69805322.ece
News,"Top news of the day: Civil Aviation Ministry says can’t draw conclusions on Air India crash report; IIM Calcutta student arrested for allegedly raping a woman on campus, and more",https://www.thehindu.com/news/top-news-of-the-day-july-12-2025/article69804421.ece
Weather,Chennai: Not Found,https://www.weather-forecast.com/locations/Chennai/forecasts/latest
Weather,"Delhi: Light rain (total 9mm), mostly falling on Mon afternoon. Warm (max 36°C on Sun afternoon, min 28°C on Mon night). Wind will be generally light.",https://www.weather-forecast.com/locations/Delhi/forecasts/latest
Weather,"Mumbai: Heavy rain (total 38mm), heaviest during Tue morning. Warm (max 29°C on Sun morning, min 27°C on Sun night). Wind will be generally light.",https://www.weather-forecast.com/locations/Mumbai/forecasts/latest
Weather,"Hyderabad: Mostly dry. Warm (max 32°C on Mon afternoon, min 25°C on Mon night). Wind will be generally light.",https://www.weather-forecast.com/locations/Hyderabad/forecasts/latest
Weather,"Bangalore: Light rain (total 2.9mm), mostly falling on Sun night. Warm (max 26°C on Sun afternoon, min 20°C on Mon night). Mainly fresh winds.",https://www.weather-forecast.com/locations/Bangalore/forecasts/latest
